index,name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax
5188,Old Gringo,-0.309665462,2.325789922,0.620879471,-0.310887725,-0.032357096,-0.048211471,-0.039073833,0.105125176,-0.0359156968,-0.586958527,8.15E-06
5189,Cattle Annie and Little Britches,-0.278146896,-0.418807081,0.620879471,-0.318285329,-0.042570271,-0.04829481,-0.037360549,0.104865882,-0.0359171049,-0.587046638,8.13E-06
5190,Vibes,-0.309665462,-0.418807081,0.620879471,-0.196224866,-0.036681338,-0.04829481,-0.032590228,0.104656167,-0.0359182437,-0.587117902,8.12E-06
5191,Swept Away,-0.2824206,2.325789922,-0.210621479,-0.37130149,-0.029199262,-0.040877635,-0.029969912,0.103652,-0.0359236968,-0.587459131,8.04E-06
5192,The Brothers Solomon,-0.2824206,2.325789922,0.620879471,-0.356506282,-0.042570271,-0.04479457,-0.039107426,0.1035056,-0.0359244918,-0.58750888,8.03E-06
5193,Knight Moves,-0.351868288,2.325789922,0.620879471,-0.318285329,-0.0417737,-0.046878046,-0.039107426,0.102602,-0.0359293988,-0.587815935,7.96E-06
5194,Black Dynamite,-0.320349722,2.325789922,0.620879471,-0.031011714,-0.041090925,-0.04829481,-0.039107426,0.102261034,-0.0359312503,-0.5879318,7.93E-06
5195,Cutthroat Island,-0.320349722,-0.471047245,-0.294534419,-0.196224866,-0.042570271,-0.043544484,-0.034269919,0.102217571,-0.0359314864,-0.58794657,7.93E-06
5196,Monkeybone,-0.263723145,-0.471047245,0.620879471,-0.35897215,-0.033495055,-0.04829481,-0.032724604,0.101631533,-0.0359346688,-0.588145713,7.88E-06
5197,Blood Ties,-0.320349722,2.325789922,-0.294534419,1.875104204,-0.042570271,-0.04829481,-0.039107426,0.10064451,-0.0359400288,-0.588481117,7.81E-06
5198,The Stupids,-0.309665462,-0.418807081,-0.210621479,0.229137354,-0.036681338,-0.04829481,-0.031078507,0.09967956,-0.0359452688,-0.58880902,7.73E-06
5199,The Hot Spot,-0.351868288,2.325789922,0.620879471,-0.245542225,-0.036112358,-0.04829481,-0.026207405,0.099536615,-0.0359460451,-0.588857594,7.72E-06
5200,Kill the Irishman,-0.332102407,2.325789922,0.620879471,-0.134578168,-0.042570271,-0.026043284,-0.03648711,0.099016167,-0.0359488713,-0.589034449,7.68E-06
5201,The City of Lost Children,-0.342252454,2.325789922,-0.294534419,-0.116084158,-0.042570271,-0.04829481,-0.039107426,0.098970278,-0.0359491205,-0.589050043,7.68E-06
5202,Million Dollar Mystery,-0.2824206,-0.418807081,0.620879471,-0.255405697,-0.03986762,-0.027460048,-0.036688672,0.0989033,-0.0359494843,-0.589072803,7.67E-06
5203,Freeway,-0.2824206,2.325789922,0.620879471,-0.155538045,-0.042570271,-0.048128132,-0.039174614,0.098497667,-0.035951687,-0.589210643,7.64E-06
5204,Adore,-0.278146896,2.325789922,0.002975095,-0.27513264,-0.041944394,-0.04829481,-0.035546483,0.098484313,-0.0359517595,-0.58921518,7.64E-06
5205,The Funeral,-0.351868288,2.325789922,0.620879471,-0.194991932,-0.041659905,-0.047128064,-0.037562111,0.09818592,-0.0359533799,-0.589316578,7.62E-06
5206,Son of the Pink Panther,-0.2824206,-0.418807081,-0.435660727,-0.463771538,-0.041830598,-0.04829481,-0.035613671,0.09752124,-0.0359569894,-0.589542445,7.56E-06
5207,Meet the Applegates,-0.2824206,2.325789922,0.620879471,-0.29362665,-0.042570271,-0.04829481,-0.03410195,0.0971544,-0.0359589815,-0.589667103,7.54E-06
5208,White Hunter Black Heart,-0.309665462,-0.418807081,0.620879471,-0.194991932,-0.041546109,-0.04829481,-0.027987877,0.096630167,-0.0359618283,-0.589845244,7.49E-06
5209,The Crossing Guard,-0.278146896,2.325789922,0.620879471,7.213708296,-0.034149381,-0.038294124,-0.035445702,0.096553222,-0.0359622462,-0.589871391,7.49E-06
5210,Survival of the Dead,-0.2824206,2.325789922,0.620879471,-0.357739216,-0.042570271,-0.030210237,-0.033900387,0.0965195,-0.0359624293,-0.58988285,7.49E-06
5211,Kafka,-0.278146896,-0.471047245,-0.294534419,0.086117013,-0.039924518,-0.024709859,-0.026106624,0.096279182,-0.0359637343,-0.589964513,7.47E-06
5212,The Death & Life of John F. Donovan,-0.278146896,2.325789922,0.10786627,-0.27513264,-0.042570271,-0.04829481,-0.039107426,0.095038971,-0.0359704692,-0.590385953,7.37E-06
5213,Citizen Ruth,-0.2824206,2.325789922,0.620879471,-0.156770979,-0.042570271,-0.021959671,-0.028357409,0.095037333,-0.0359704781,-0.59038651,7.37E-06
5214,Almost You,-0.2824206,2.325789922,0.620879471,-0.255405697,-0.042570271,-0.043127789,-0.039107426,0.095,-0.0359706808,-0.590399196,7.37E-06
5215,Money for Nothing,-0.2824206,2.325789922,0.620879471,-0.196224866,-0.038871907,-0.040960974,-0.03914102,0.094529455,-0.0359732361,-0.590559094,7.33E-06
5216,Third Person,-0.278146896,2.325789922,-0.746520027,7.213708296,-0.042285782,-0.009625492,-0.019858176,0.093741464,-0.0359775152,-0.590826864,7.27E-06
5217,The Extra Man,-0.2824206,2.325789922,-0.294534419,-0.310887725,-0.036083909,-0.048378149,-0.035277733,0.092803714,-0.0359826076,-0.591145524,7.20E-06
5218,Mother's Boys,-0.278146896,2.325789922,0.620879471,-0.360205084,-0.034149381,-0.048378149,-0.03914102,0.0921935,-0.0359859213,-0.591352882,7.15E-06
5219,Josh and S.A.M.,-0.309665462,-0.471047245,0.620879471,-0.196224866,-0.038445173,-0.04129433,-0.03914102,0.091123333,-0.0359917328,-0.591716539,7.07E-06
5220,The Wicked Lady,-0.309665462,2.325789922,-0.210621479,-0.282530244,-0.037335663,-0.048378149,-0.030977726,0.090614,-0.0359944987,-0.591889618,7.03E-06
5221,Slam Dance,-0.351868288,2.325789922,-0.210621479,-0.356506282,-0.04259872,-0.048378149,-0.03393398,0.090418,-0.0359955631,-0.591956221,7.01E-06
5222,Gummo,-0.2824206,2.325789922,0.620879471,-0.307188924,-0.038615866,-0.023376435,-0.031112101,0.089845385,-0.0359986726,-0.592150803,6.97E-06
5223,Fever Pitch,-0.278146896,2.325789922,0.620879471,-0.368835622,-0.036510644,-0.048378149,-0.038670707,0.088406714,-0.0360064852,-0.592639683,6.86E-06
5224,Radioland Murders,-0.2824206,-0.418807081,0.620879471,-0.27513264,-0.031019995,-0.009042118,-0.01582692,0.087791,-0.0360098288,-0.592848911,6.81E-06
5225,Personal Services,-0.2824206,2.325789922,-0.210621479,-0.245542225,-0.041460762,-0.048378149,-0.03648711,0.08765666,-0.0360105583,-0.592894561,6.80E-06
5226,Prison,-0.351868288,2.325789922,0.620879471,-0.310887725,-0.038473622,-0.048378149,-0.034269919,0.086426,-0.0360172413,-0.593312756,6.70E-06
5227,Repo Man,-0.320349722,2.325789922,0.620879471,0.086117013,-0.04259872,-0.046294673,-0.038301175,0.086,-0.0360195547,-0.593457516,6.67E-06
5228,Track 29,-0.278146896,2.325789922,-0.210621479,-0.320751197,-0.034604564,-0.047544759,-0.03914102,0.0858056,-0.0360206104,-0.593523576,6.65E-06
5229,Mr. Church,-0.2824206,-0.471047245,0.620879471,0.146530778,-0.042228884,-0.027960082,-0.028088658,0.0857225,-0.0360210616,-0.593551814,6.65E-06
5230,Honky Tonk Freeway,-0.320349722,-0.418807081,0.620879471,-0.272666772,-0.040578844,-0.048461488,-0.035109764,0.083530917,-0.0360329628,-0.594296544,6.48E-06
5231,Company Business,-0.320349722,-0.471047245,0.620879471,-0.333080537,-0.03932709,-0.048461488,-0.027853502,0.0834325,-0.0360334973,-0.594329987,6.47E-06
5232,The Sheltering Sky,-0.309665462,2.325789922,-0.210621479,-0.155538045,-0.041034028,-0.048461488,-0.037494924,0.08300336,-0.0360358277,-0.594475814,6.44E-06
5233,Cradle Will Rock,-0.278146896,2.325789922,0.620879471,-0.155538045,-0.042627169,-0.048461488,-0.033295698,0.082970333,-0.0360360071,-0.594487037,6.44E-06
5234,The Underneath,-0.351868288,2.325789922,0.620879471,-0.318285329,-0.042627169,-0.048461488,-0.026106624,0.082465077,-0.0360387508,-0.59465873,6.40E-06
5235,Shakes the Clown,-0.2824206,2.325789922,0.620879471,-0.333080537,-0.042627169,-0.048461488,-0.039174614,0.082216429,-0.0360401011,-0.594743224,6.38E-06
5236,Frankenhooker,-0.2824206,2.325789922,0.620879471,-0.27513264,-0.042627169,-0.048461488,-0.039174614,0.0820272,-0.0360411287,-0.594807527,6.36E-06
5237,Dead Alive,-0.2824206,2.325789922,0.058281351,-0.116084158,-0.041887496,-0.048461488,-0.023721464,0.080874333,-0.0360473892,-0.595199286,6.27E-06
5238,Bottle Rocket,-0.2824206,2.325789922,0.620879471,-0.156770979,-0.032357096,-0.048461488,-0.030776163,0.080009857,-0.0360520837,-0.595493047,6.21E-06
5239,Heaven's Gate,-0.309665462,2.325789922,0.620879471,-0.155538045,-0.042627169,-0.048461488,-0.038099612,0.079193705,-0.0360565158,-0.595770386,6.14E-06
5240,"Faraway, So Close!",-0.278146896,-0.471047245,-0.410868268,-0.161702715,-0.042627169,-0.033793816,-0.039308989,0.07718619,-0.0360674174,-0.596452566,5.99E-06
5241,Mr. Right,-0.320349722,2.325789922,0.620879471,-0.245542225,-0.042627169,-0.023876469,-0.039174614,0.075949375,-0.0360741338,-0.596872852,5.89E-06
5242,Mr. Nobody,-0.278146896,2.325789922,-0.746520027,0.336402609,-0.042627169,-0.048461488,-0.039174614,0.075726809,-0.0360753425,-0.596948483,5.87E-06
5243,Things to Do in Denver When You're Dead,-0.351868288,2.325789922,0.620879471,-0.155538045,-0.034149381,-0.037377395,-0.035412108,0.075680857,-0.036075592,-0.596964098,5.87E-06
5244,Hard Eight,-0.351868288,2.325789922,0.620879471,-0.114851224,-0.042655618,-0.037377395,-0.034706638,0.074186333,-0.0360837079,-0.597471958,5.75E-06
5245,Where the Heart Is,-0.2824206,2.325789922,0.620879471,-0.313353593,-0.033665748,-0.048544827,-0.035378514,0.073765,-0.0360859959,-0.597615132,5.72E-06
5246,Prefontaine,-0.332102407,-0.471047245,0.620879471,-0.155538045,-0.035543379,-0.048544827,-0.039208208,0.073663,-0.0360865498,-0.597649793,5.71E-06
5247,The Thing Called Love,-0.2824206,-0.471047245,0.620879471,-0.245542225,-0.031332934,-0.045044587,-0.034135543,0.0735515,-0.0360871553,-0.597687682,5.70E-06
5248,Wild Bill,-0.320349722,2.325789922,0.620879471,-0.320751197,-0.015088581,-0.046961385,-0.034773826,0.073132733,-0.0360894294,-0.597829985,5.67E-06
5249,Six-String Samurai,-0.320349722,-0.471047245,0.620879471,-0.194991932,-0.042655618,-0.048544827,-0.039208208,0.0730625,-0.0360898108,-0.597853851,5.67E-06
5250,Gerry,-0.309665462,2.325789922,0.620879471,-0.318285329,-0.042655618,-0.048544827,-0.02889491,0.072766571,-0.0360914178,-0.597954412,5.64E-06
5251,8 Million Ways to Die,-0.320349722,2.325789922,0.620879471,-0.310887725,-0.042200435,-0.040127583,-0.039208208,0.072506333,-0.036092831,-0.598042844,5.62E-06
5252,Everybody Wins,-0.278146896,2.325789922,-0.210621479,-0.255405697,-0.041034028,-0.047628098,-0.039208208,0.072228947,-0.0360943374,-0.598137103,5.60E-06
5253,K-12,-0.342252454,-0.558023904,0.620879471,1.875104204,-0.042655618,-0.048544827,-0.039208208,0.0718754,-0.0360962573,-0.598257243,5.57E-06
5254,Kansas City,-0.351868288,2.325789922,-0.294534419,7.213708296,-0.039099499,-0.046211334,-0.035210545,0.071412,-0.0360987737,-0.598414713,5.54E-06
