name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
Showgirls,-0.278146896,-0.651127171,-0.294534419,-0.357739216,-0.037250317,-0.03254373,-0.029734755,0.452413867,-0.0340847702,-0.470155859,3.51E-05,5
Wristcutters: A Love Story,-0.2824206,2.325789922,0.620879471,-0.161702715,-0.041574558,-0.045377944,-0.037931643,0.454026,-0.0340760124,-0.469608181,3.52E-05,5
Tolkien,-0.332102407,-0.471047245,0.620879471,-0.155538045,-0.02220082,-0.045377944,-0.037931643,0.454502,-0.0340734266,-0.469446473,3.53E-05,5
Mixed Nuts,-0.2824206,-0.471047245,0.620879471,-0.360205084,-0.034206278,-0.027043353,-0.02818944,0.45479,-0.034071862,-0.469348633,3.53E-05,5
The Iceman,-0.332102407,2.325789922,0.620879471,-0.155538045,-0.041546109,-0.045294605,-0.036621485,0.455297,-0.0340691078,-0.469176393,3.53E-05,5
Extreme Measures,-0.351868288,2.325789922,-0.210621479,-0.27513264,-0.038445173,-0.045294605,-0.033564449,0.457371737,-0.034057837,-0.468471557,3.55E-05,5
Slackers,-0.2824206,2.325789922,0.10786627,-0.360205084,0.03768423,-0.045294605,-0.037898049,0.458136786,-0.0340536809,-0.468211653,3.55E-05,5
The Love Letter,-0.2824206,-0.471047245,0.620879471,-0.29362665,-0.03443387,-0.045294605,-0.037898049,0.45886775,-0.03404971,-0.467963327,3.56E-05,5
The Lost City,-0.278146896,2.325789922,0.620879471,-0.194991932,-0.041546109,-0.045294605,-0.037898049,0.459167813,-0.0340480799,-0.467861389,3.56E-05,5
The Book of Henry,-0.351868288,-0.471047245,0.620879471,-0.194991932,-0.041546109,-0.045294605,-0.019858176,0.4596705,-0.0340453491,-0.467690615,3.57E-05,5
Domino,-0.320349722,2.325789922,0.620879471,-0.320751197,-0.023566369,-0.043377806,-0.027013657,0.45969256,-0.0340452293,-0.467683121,3.57E-05,5
A Cry in the Dark,-0.332102407,-0.471047245,0.002975095,0.086117013,-0.013296297,-0.045294605,-0.036419922,0.460586467,-0.0340403732,-0.46737944,3.57E-05,5
Gladiator,-0.320349722,2.325789922,0.620879471,1.875104204,-0.032357096,-0.043627824,-0.03605039,0.46117205,-0.0340371921,-0.467180504,3.58E-05,5
Hart's War,-0.278146896,2.325789922,0.620879471,7.213708296,-0.040550395,-0.044627892,-0.033060542,0.461243486,-0.034036804,-0.467156235,3.58E-05,5
Black & White,-0.351868288,2.325789922,0.620879471,-0.357739216,-0.041546109,-0.038627481,-0.035613671,0.461785917,-0.0340338573,-0.466971959,3.58E-05,5
Just Visiting,-0.309665462,-0.471047245,-0.294534419,-0.310887725,-0.041944394,-0.045294605,-0.037898049,0.462192343,-0.0340316494,-0.466833887,3.59E-05,5
The Adventures of Rocky & Bullwinkle,-0.263723145,-0.418807081,0.620879471,0.229137354,-0.037847745,-0.037294056,-0.037898049,0.462300263,-0.0340310631,-0.466797224,3.59E-05,5
Sphere,-0.320349722,-0.471047245,0.620879471,-0.318285329,-0.035145094,-0.011125595,-0.03030585,0.462753463,-0.0340286012,-0.466643262,3.59E-05,5
Ringmaster,-0.2824206,2.325789922,0.620879471,-0.451442198,-0.038302928,-0.044044519,-0.037898049,0.46285515,-0.0340280488,-0.466608716,3.59E-05,5
Lifeforce,-0.320349722,2.325789922,-0.210621479,-0.27513264,-0.037335663,-0.045294605,-0.031212882,0.4641418,-0.0340210591,-0.466171612,3.60E-05,5
Everybody Wants Some!!,-0.2824206,2.325789922,0.620879471,0.086117013,-0.036226154,0.037211054,-0.016398014,0.4644472,-0.0340194001,-0.46606786,3.60E-05,5
Hero,-0.2824206,-0.471047245,0.620879471,1.875104204,-0.032357096,-0.045294605,-0.032791791,0.464460595,-0.0340193273,-0.46606331,3.60E-05,5
Jem and the Holograms,-0.309665462,-0.418807081,0.620879471,0.229137354,-0.04151766,-0.045211265,-0.023217557,0.4667368,-0.034006962,-0.465290031,3.62E-05,5
Red Corner,-0.351868288,2.325789922,0.620879471,7.213708296,-0.036510644,-0.035127241,-0.029096473,0.467901542,-0.0340006347,-0.464894341,3.63E-05,5
The Runaways,-0.332102407,2.325789922,0.620879471,1.875104204,-0.038587417,-0.045211265,-0.037864456,0.4681651,-0.0339992029,-0.464804805,3.63E-05,5
