name,genre,rating,country,score,company,writer,director,hit rate
Things Are Tough All Over,0.026374786,1,0.251513114,0.03691434,0.000234283,0.000467175,0.000234283,3.019196286
Jinxed!,0.035737835,1,0.251513114,0.04085818,1.63E-05,3.25E-05,1.63E-05,0.21415209
Five Days One Summer,0.036792826,0.261430325,0.251513114,0.036283325,7.76E-07,1.55E-06,7.76E-07,0.013271867
Partners,0.035737835,1,0.251513114,0.031392964,0.000314188,0.00021193,7.84E-05,1.010483
"Yes, Giorgio",0.035737835,0.261430325,0.251513114,0.017668402,0.000172997,1.86E-05,1.01E-05,0.119975947
Scarface,0.018594224,1,0.251513114,0.14813062,0.000322721,0.001382961,0.000132657,2.63538812
The Outsiders,0.018594224,0.261430325,0.251513114,0.05978861,5.28E-05,0.000397563,0.00013033,2.5697647
Star Wars: Episode VI - Return of the Jedi,0.026374786,0.261430325,0.251513114,0.14813062,0.000695091,0.001539202,0.000671818,14.6186516
Risky Business,0.035737835,1,0.251513114,0.057106799,0.000301775,0.000872472,0.000795166,10.24867371
National Lampoon's Vacation,0.029012264,1,0.251513114,0.073039912,0.00027152,0.001163296,0.000197822,4.093303467
Trading Places,0.035737835,1,0.251513114,0.062154914,0.000213337,0.000932803,0.000193167,6.026986667
Superman III,0.026374786,0.261430325,0.090114324,0.049850134,0.000137312,0.000256791,9.70E-05,1.537195462
The Big Chill,0.035737835,1,0.251513114,0.062312668,0.00028626,0.001539202,0.00015593,7.049957375
Staying Alive,0.036792826,0.261430325,0.251513114,0.04085818,0.000314188,0.000456346,0.000420468,2.949666818
Jaws 3-D,0.029012264,0.261430325,0.251513114,0.021612242,0.000322721,0.000374359,0.000332806,4.292051463
Christine,1,1,0.251513114,0.037703108,0.00028626,0.000467175,0.000237386,2.166788557
Flashdance,0.036792826,1,0.251513114,0.041804701,0.000314188,0.003593533,0.000631478,23.23030075
WarGames,0.026374786,0.261430325,0.251513114,0.05978861,0.000269193,0.000606399,0.000217992,6.630638917
The Right Stuff,0.029012264,0.261430325,0.251513114,0.120050481,0.000256005,0.000120661,0.000102402,0.784900556
Krull,0.026374786,0.261430325,0.104909213,0.036283325,0.00028626,0.000392922,4.73E-05,0.359928021
The Dead Zone,0.036792826,1,0.251513114,0.062312668,0.000145069,0.001132357,7.68E-05,2.0766616
Octopussy,0.026374786,0.261430325,0.104909213,0.31692696,0.000269193,0.000382093,0.000161361,2.468858873
Private School,0.035737835,1,0.251513114,0.031392964,0.000311084,0.001036447,0.000311084,4.014154286
Valley Girl,0.035737835,1,0.251513114,0.045590787,0.000845591,0.00766507,0.000715262,49.55313143
Rumble Fish,0.018594224,1,0.251513114,0.062312668,5.28E-05,3.87E-05,0.00013033,0.249448
Videodrome,1,1,0.161062542,0.062312668,2.79E-05,5.88E-05,7.68E-05,0.356256552
Terms of Endearment,0.035737835,0.261430325,0.251513114,0.073039912,0.000314188,0.002096099,0.000377025,13.55296863
Twilight Zone: The Movie,1,0.261430325,0.251513114,0.31692696,0.000262211,0.000312481,0.00021644,2.9450919
Never Say Never Again,0.026374786,0.261430325,0.104909213,0.041804701,0.000119469,0.000238228,0.000860331,1.539801139
A Christmas Story,0.035737835,0.261430325,0.251513114,0.064836725,0.000172997,0.000484191,0.000588035,6.258702121
Cujo,1,1,0.251513114,0.036283325,0.000328151,0.000467175,0.000217992,4.2312304
Sudden Impact,0.026374786,1,0.251513114,0.052058684,0.000210234,0.000332591,0.000264538,3.074667864
Blue Thunder,0.026374786,1,0.251513114,0.045590787,0.00028626,0.000392922,0.000217992,1.923334273
Breathless,0.026374786,1,0.251513114,0.035967818,0.00020558,0.000409938,0.000183858,2.654666933
Psycho II,0.018594224,1,0.251513114,0.31692696,0.000322721,0.000521318,0.000319618,6.945
Silkwood,0.023473559,1,0.251513114,0.062312668,0.000113263,0.000409938,0.000190064,3.5615609
All the Right Moves,0.036792826,1,0.251513114,0.035967818,0.000238938,0.001178766,0.000124123,3.077351071
The Keep,0.036792826,1,0.104909213,0.051900931,0.000314188,5.88E-05,0.000117142,0.383508545
Yentl,0.036792826,0.261430325,0.104909213,0.052058684,0.000259884,0.000518224,0.0001761,3.351574917
Fire and Ice,0.040353422,0.261430325,0.251513114,0.052058684,4.89E-05,9.75E-05,4.27E-05,0.634069167
Yellowbeard,0.026374786,0.261430325,0.104909213,0.03691434,5.12E-05,0.000179445,5.12E-05,0.661538462
The Meaning of Life,0.035737835,1,0.104909213,0.062154914,0.000128778,0.000179445,6.83E-05,1.661077444
Deathstalker,0.026374786,1,0.251513114,0.046221802,0.002023213,0.00403441,0.002023213,26.08150985
Porky's II: The Next Day,0.035737835,1,0.161062542,0.049850134,0.001928568,0.00080286,0.000588035,5.193733231
Something Wicked This Way Comes,0.020967955,0.261430325,0.251513114,0.057106799,9.08E-05,4.49E-05,3.41E-05,0.442105263
Star 80,0.023473559,1,0.251513114,0.037703108,0.000256005,8.35E-05,4.19E-05,0.539415833
Gorky Park,0.018594224,1,0.251513114,0.037703108,8.22E-05,0.000163975,0.00013576,1.057068533
Lone Wolf McQuade,0.026374786,0.261430325,0.251513114,1,0.000190064,0.000378999,0.000190064,2.4465256
Losin' It,0.035737835,1,0.161062542,0.031235211,1.40E-05,2.78E-05,0.00022575,0.178020143
